OCCUPATION_ID,FMAIN_ID,SOURCE_YEAR,SOURCE,AGE,GENDER,OCCUPATION,SCHOOL,STATUS,LITERACY,VOTER,ESTATE,REAL_ESTATE,ORIG_TOWN,ORIG_STATE,ORIG_COUNTRY,REMARKS
1312,395,1821,BD,,,Laborer,,,,,,,,,,
1440,425,1821,BD,,,Laborer,,,,,,,,,,
1587,461,1821,BD,,,Laborer,,,,,,,,,,
1753,494,1821,BD,,,Laborer,,,,,,,,,,
1813,506,1821,BD,,,Laborer,,,,,,,,,,
1978,541,1821,BD,,,Laborer,,,,,,,,,,
2138,591,1821,BD,,,Laborer,,,,,,,,,,
2156,600,1821,BD,,,Laborer,,,,,,,,,,
2312,624,1821,BD,,,Laborer,,,,,,,,,,
2385,638,1821,BD,,,Laborer,,,,,,,,,,
2446,657,1821,BD,,,Laborer,,,,,,,,,,
2614,716,1821,BD,,,Laborer,,,,,,,,,,
2710,749,1821,BD,,,Laborer,,,,,,,,,,
2720,754,1821,BD,,,Laborer,,,,,,,,,,
2929,818,1821,BD,,,Laborer,,,,,,,,,,
3009,849,1821,BD,,,Laborer,,,,,,,,,,
3346,939,1821,BD,,,Laborer,,,,,,,,,,
3397,958,1821,BD,,,Laborer,,,,,,,,,,
3895,1198,1821,BD,,,Laborer,,,,,,,,,,
4009,1287,1821,BD,,,Laborer,,,,,,,,,,
4072,1335,1821,BD,,,Laborer,,,,,,,,,,
4082,1344,1821,BD,,,Laborer,,,,,,,,,,
4090,1351,1821,BD,,,Laborer,,,,,,,,,,
4164,1400,1821,BD,,,Laborer,,,,,,,,,,
4229,1454,1821,BD,,,Laborer,,,,,,,,,,
4364,1555,1821,BD,,,Laborer,,,,,,,,,,
4401,1588,1821,BD,,,Laborer,,,,,,,,,,
4453,1626,1821,BD,,,Laborer,,,,,,,,,,
4660,1799,1821,BD,,,Laborer,,,,,,,,,,
4664,1803,1821,BD,,,Laborer,,,,,,,,,,
4699,1835,1821,BD,,,Laborer,,,,,,,,,,
4702,1836,1821,BD,,,Laborer,,,,,,,,,,
4707,1840,1821,BD,,,Laborer,,,,,,,,,,
4712,1845,1821,BD,,,Laborer,,,,,,,,,,
4780,1899,1821,BD,,,Laborer,,,,,,,,,,
4841,1950,1821,BD,,,Laborer,,,,,,,,,,
4907,2004,1821,BD,,,Laborer,,,,,,,,,,
4978,2057,1821,BD,,,Laborer,,,,,,,,,,
5060,2120,1821,BD,,,Laborer,,,,,,,,,,
5064,2124,1821,BD,,,Laborer,,,,,,,,,,
5139,2180,1821,BD,,,Laborer,,,,,,,,,,
5145,2185,1821,BD,,,Laborer,,,,,,,,,,
5211,2240,1821,BD,,,Laborer,,,,,,,,,,
5220,2248,1821,BD,,,Laborer,,,,,,,,,,
5288,2304,1821,BD,,,Laborer,,,,,,,,,,
5345,2353,1821,BD,,,Laborer,,,,,,,,,,
5386,2388,1821,BD,,,Laborer,,,,,,,,,,
5443,2429,1821,BD,,,Laborer,,,,,,,,,,
5444,2430,1821,BD,,,Laborer,,,,,,,,,,
5552,2515,1821,BD,,,Laborer,,,,,,,,,,
5595,2552,1821,BD,,,Laborer,,,,,,,,,,
5604,2558,1821,BD,,,Laborer,,,,,,,,,,
5633,2580,1821,BD,,,Laborer,,,,,,,,,,
5683,2619,1821,BD,,,Laborer,,,,,,,,,,
5746,2664,1821,BD,,,Laborer,,,,,,,,,,
5754,2672,1821,BD,,,Laborer,,,,,,,,,,
5866,2745,1821,BD,,,Laborer,,,,,,,,,,
6113,2919,1821,BD,,,Laborer,,,,,,,,,,
6118,2922,1821,BD,,,Laborer,,,,,,,,,,
6559,3239,1821,BD,,,Laborer,,,,,,,,,,
6612,3279,1821,BD,,,Laborer,,,,,,,,,,
6643,3301,1821,BD,,,Laborer,,,,,,,,,,
6694,3340,1821,BD,,,Laborer,,,,,,,,,,
6926,3511,1821,BD,,,Laborer,,,,,,,,,,
7093,3634,1821,BD,,,Laborer,,,,,,,,,,
7134,3669,1821,BD,,,Laborer,,,,,,,,,,
7145,3680,1821,BD,,,Laborer,,,,,,,,,,
7232,3751,1821,BD,,,Laborer,,,,,,,,,,
7329,3834,1821,BD,,,Laborer,,,,,,,,,,
7343,3847,1821,BD,,,Laborer,,,,,,,,,,
