uid,menu-item-id,WORKING-NAME_1,WORKING-TOPIC_TAG,theme,type,action,start,end,address,latitude,longitude,source,display-desc,desc-source,Location_QC
poi000006,ui0010,James Scott trial for aiding the freeing of Shadrach Minkins,bosvigilance,Events,Event,occured,,1851,Cornhill Court,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.","In a chaotic struggle, black abolitionists arrested Minkins from his court officers, carried him off and temporarily hid him in a Beacon Hill attic. From there, Boston black leaders Lewis Hayden, John J. Smith and others helped Minkins escape from Massachusetts, and he eventually found his way to Canada on the Underground Railroad. On an order from President Millard Fillmore, nine abolitionists, including Robert Morris, were indicted. Charges against some were dismissed, while others, including Morris and Hayden, faced a jury in court. Utimately, each was aquitted.",Massachusetts Historical Society,TBD
poi000429,ui0005,Primary School Committee denies Putnam petition,robertsvcob,Events,Event,occurred,1846,1846,,,,,"Signed by over 80 members of Boston’s African American community, this petition advocates for equal schooling for both Black and White schoolchildren in Boston. Black leaders, including William C. Nell, organized petition drives in the 1840s and early 1850s as they tried various methods to push the Primary School Committee to integrate schools.",1846 Petition to Primary School Committee,TBD
poi000431,ui0007,Massachusetts abolishes school segregation ,robertsvcob,Events,Event,occurred,1855,1855,Court House,42.358691,-71.0589015,US National Park Service.,"In 1855, due to the work of many dedicated activists, including Benjamin Roberts and William C. Nell, the Massachusetts legislature outlawed public school segregation in a significant and widely celebrated win for the equal schools movement.",https://www.nps.gov/articles/the-sarah-roberts-case.htm,changed
poi000430,ui0007,Roberts v City of Boston,robertsvcob,Events,Event,occurred,1849,1850,Court House,42.358691,-71.0589015,US National Park Service.,,Wikipedia,changed
,ui0007,Black Bostonians meet to celebrate equal school rights,,Events,Event,occurred,1855,1855,,42.3604427,-71.0681428,,"On 17 December 1855, a group led by John Hilton held a celebration in honor of William Cooper Nell and his work on behalf in securing the passage of the law requiring equal school rights in Boston. ",,changed
poi000452,ui0009,Anthony Burns Celebrations,bosvigilance,Events,Event,occurred,1855,1855,88 Tremont Street,42.3575785,-71.0605409,NPS Boston African American National Historic Site.,On March 7 Anthony Burns spoke in front of a large audience.,,changed
poi000443,ui0009,Arrest of Anthony Burns,bosvigilance,Events,Event,occurred,1854,1854,Corner of Hanover and Court Streets,42.3601584,-71.0598279,"NPS Boston African American Historic Site: ""God made me a man- not a slave"": The Arrest of Anthony Burns.","Following a three-week journey, Burns arrived in Boston in February of 1854. After finding employment in the shop of Coffin Pitts on Brattle Street, Burns wrote a letter to his brother still enslaved in Virginia. Though he had it postmarked from Canada, the letter's contents gave away his location in Boston. Now knowing his whereabouts, Charles Suttle acquired a warrant for Burns' arrest under the Fugitive Slave Law. In the evening of May 24, 1854, a federal marshal arrested Anthony Burns in Boston under the false charge of robbery.","NPS Boston African American Historic Site: ""God made me a man- not a slave"": The Arrest of Anthony Burns",changed
,ui0009,Leonard Grimes's negotiation for the purchase of Anthony Burns from Charles Suttle during the trial.,,Events,Event,occurred,,1854,Revere House,42.363673,-71.0540053,,"Leonard Grimes tried to secure Anthony Burns' freedom by purchasing him from Charles Suttle, the Virginian who claimed to own Burns. Suttle eventually rejected the sale.","Charles Emery Stevens, Anthony Burns : a history, 1856",changed
poi000445,ui0009,Militant abolitionists meeting at Tremont Temple,bosvigilance,Events,Event,occurred,1854,1854,88 Tremont St,42.3575785,-71.0605409,"NPS Boston African American Historic Site: ""God made me a man- not a slave"": The Arrest of Anthony Burns.","While a larger group met at Faneuil Hall on May 26, a smaller group of White and Black militant abolitionists met at Tremont Temple.","NPS Boston African American Historic Site: ""God made me a man- not a slave"": The Arrest of Anthony Burns",changed
poi000451,ui0009,Militant abolitionists' attempt to free Anthony Burns.,bosvigilance,Events,Event,occurred,1854,1854,Court House,42.358895,-71.0588089,"NPS Boston African American Historic Site: ""God made me a man- not a slave"": The Arrest of Anthony Burns.","Using a makeshift battering ram, abolitionists broke down the courthouse's door and began hand to hand fighting with the marshals. The rescue attempt failed, but during the attack an abolitionist fired a pistol, killing James Batchelder, one of the deputized federal marshals.","NPS Boston African American Historic Site: ""God made me a man- not a slave"": The Arrest of Anthony Burns",same
