uid,menu-item-id,WORKING-NAME_1,WORKING-TOPIC_TAG,theme,type,action,start,end,address,latitude,longitude,source,display-desc,desc-source,Location_QC
poi000384,ui0001,First Independent Baptist Church,robertsvcob,Places,Church,met,1806,,8 Smith Ct,42.359983,-71.065481,Wikipedia.,"In addition to serving as a spiritual and religious center for the community, the African Meeting House provided an integral gathering space for the cultural, educational, and political life of Bostonâ€™s Black community. The African School held classes in a room on the first floor of the meeting house from 1808 until 1835, when it moved into the new Abiel Smith School. Classes returned to the meeting house in 1849 when many African Americans chose to withdraw their children from the Smith School to protest segregated education. ",https://www.nps.gov/boaf/learn/historyculture/amh.htm,changed
,ui0001,First African Methodists Episcopal Bethel Society of Boston,,Places,Church,met,1844,1876,Anderson Street,42.3600094,-71.0678923,US National Park Service.,,,changed
,ui0001,Revere Street Methodist Episcopal Church,,Places,Church,met,1835,1903,May Street,42.359827,-71.0692792,US National Park Service.,,,TBD
,ui0001,Columbus Avenue AME Zion Church,,Places,Church,met,1841,1903,North Russell Street,42.361791,-71.0663755,US National Park Service.,,,changed
poi000030,ui0001,Revere Street Methodist Episcopal Church,dwappeal,Places,Church,met,1823,1834,,42.359589,-71.069324,"Boston African American National Historic Site.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.","In the early 1800s, a number of African Americans were attending the Bromfield Street Methodist Episcopal Church. In 1818, this church helped to establish a separate black Methodist church by hiring the Rev. Samuel Snowden. This church became known as the Revere Street Methodist Episcopal Church. They met at various locations until a building was purchased by the New England Methodist Conference on Revere (originally May) Street in 1823. This church moved in 1835 to a larger building on Revere Street. The Rev. Snowden, like the ministers who followed him, was actively engaged in antislavery activities. David Walker, antislavery advocate and author of the Appeal to the Coloured Citizens of the World and Expressly to the Coloured Citizens of the United States, was also a member of this church. The Revere Street Church building, which was owned by the Bromfield Street Church, was sold in 1903, and the Revere Street Church was left without a place to meet. They moved into a church in the South End in 1911 and again into another building in 1949. This church remains today on Columbus Avenue and is known as the Union United Methodist Church.",National Park Service,TBD
poi000033,ui0001,Twelfth Baptist Church,bosvigilance,Places,Church,met,1850,1906,,42.3604427,-71.0681428,"Wikipedia. Boston African American National Historic Site.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.",,,changed
,ui0009,Twelfth Baptist Church,,Places,Church,was built,,1854,,42.3604427,-71.0681428,,"According to ""Anthony Burns: a History,"" the church was finished on the first day of Anthony Burns' trial.","Charles Emery Stevens, Anthony Burns : a history, 1856",changed
poi000422,ui0013,David Walker's Used Clothing Store,dwappeal,Places,Place,is,1827,1830,42 Brattle Street ,42.35981,-71.05808,"Arkin, Marc M. 2016. â€œâ€œA Convenient Seat in God's Templeâ€:1 The Massachusetts General Colored Association and the Park Street Church Pew Controversy of 1830.â€ The New England Quarterly 89 (1): 6â€“53. https://doi.org/10.1162/TNEQ_a_00511.","Sometime in the 1820s Walker opened a secondhand clothing store on the Boston waterfront. Through this business he could purchase clothes taken from sailors in barter for drink and then resell them to seamen about to embark. In the copious pockets of these garments, he concealed copies of his Appeal, which he reasoned would reach Southern ports and pass through the hands of other used-clothes dealers who would know what to do with them. He also used sympathetic Black seamen to distribute pamphlets directly.",Britannica,changed
poi000421,,Putnam-Johnson House,robertsvcob,Places,Place,is,1826,1904,69 Joy Street,42.36054,-71.06496,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.","This home belonged to two important figures in the Black community. One was George Putman, who held meetings at his home, where he may have also hosted a gathering to discuss the founding of a college for African Americans, as Putnam valued education and advocated to integrate Bostonâ€™s schools. In 1853, Putnam sold the house to Robert Johnson, a freedom-seeker who escaped to Canada from Virginia, before settling in Boston in the 1830s. Based on his activism and associates, Johnson likely assisted freedom seekers; he served as a deacon at Twelfth Baptist Church, also known as the â€œFugitivesâ€™ Slaves Church.â€",https://buildingsofnewengland.com/tag/george-putnam/,changed
poi000449,ui0009,Apothecary (?),bosvigilance,Places,Place,was,,,,,,,,,TBD
